F,X,X,X,X,X,X,X,X,X,X,X,
T,F,X,F,F,F,F,X,X,X,X,X,
T,F,X,F,F,F,T,F,X,X,X,X,
T,F,X,F,F,F,T,T,F,X,X,X,
T,F,X,F,F,F,T,T,T,F,X,X,
T,F,X,F,F,F,T,T,T,T,F,F,
T,F,X,F,F,F,T,T,T,T,F,T,
T,F,X,F,F,F,T,T,T,T,T,X,
T,F,X,F,F,T,X,X,X,X,X,X,
T,F,X,F,T,X,X,F,X,X,X,X,
T,F,X,F,T,X,X,T,F,X,X,X,
T,F,X,F,T,X,X,T,T,F,X,X,
T,F,X,F,T,X,X,T,T,T,F,F,
T,F,X,F,T,X,X,T,T,T,F,T,
T,F,X,F,T,X,X,T,T,T,T,X,
T,F,X,T,X,F,F,X,X,X,X,X,
T,F,X,T,X,F,T,F,X,X,X,X,
T,F,X,T,X,F,T,T,F,X,X,X,
T,F,X,T,X,F,T,T,T,F,X,X,
T,F,X,T,X,F,T,T,T,T,F,F,
T,F,X,T,X,F,T,T,T,T,F,T,
T,F,X,T,X,F,T,T,T,T,T,X,
T,F,X,T,X,T,X,X,X,X,X,X,
T,T,F,F,F,F,F,X,X,X,X,X,
T,T,F,F,F,F,T,F,X,X,X,X,
T,T,F,F,F,F,T,T,F,X,X,X,
T,T,F,F,F,F,T,T,T,F,X,X,
T,T,F,F,F,F,T,T,T,T,F,F,
T,T,F,F,F,F,T,T,T,T,F,T,
T,T,F,F,F,F,T,T,T,T,T,X,
T,T,F,F,F,T,X,X,X,X,X,X,
T,T,F,F,T,X,X,F,X,X,X,X,
T,T,F,F,T,X,X,T,F,X,X,X,
T,T,F,F,T,X,X,T,T,F,X,X,
T,T,F,F,T,X,X,T,T,T,F,F,
T,T,F,F,T,X,X,T,T,T,F,T,
T,T,F,F,T,X,X,T,T,T,T,X,
T,T,F,T,X,F,F,X,X,X,X,X,
T,T,F,T,X,F,T,F,X,X,X,X,
T,T,F,T,X,F,T,T,F,X,X,X,
T,T,F,T,X,F,T,T,T,F,X,X,
T,T,F,T,X,F,T,T,T,T,F,F,
T,T,F,T,X,F,T,T,T,T,F,T,
T,T,F,T,X,F,T,T,T,T,T,X,
T,T,F,T,X,T,X,X,X,X,X,X,
T,T,T,X,X,X,X,F,X,X,X,X,
T,T,T,X,X,X,X,T,F,X,X,X,
T,T,T,X,X,X,X,T,T,F,X,X,
T,T,T,X,X,X,X,T,T,T,F,F,
T,T,T,X,X,X,X,T,T,T,F,T,
T,T,T,X,X,X,X,T,T,T,T,X,
