F,X,X,X,X,X,X,X,X,X,X,X,X,X,
T,F,X,X,X,X,X,X,X,X,X,X,X,X,
T,T,F,F,F,F,X,X,F,F,X,X,X,X,
T,T,F,F,F,F,X,X,F,T,F,X,X,X,
T,T,F,F,F,F,X,X,F,T,T,F,X,X,
T,T,F,F,F,F,X,X,F,T,T,T,F,X,
T,T,F,F,F,F,X,X,F,T,T,T,T,F,
T,T,F,F,F,F,X,X,F,T,T,T,T,T,
T,T,F,F,F,F,X,X,T,X,X,X,X,X,
T,T,F,F,F,T,F,X,F,F,X,X,X,X,
T,T,F,F,F,T,F,X,F,T,F,X,X,X,
T,T,F,F,F,T,F,X,F,T,T,F,X,X,
T,T,F,F,F,T,F,X,F,T,T,T,F,X,
T,T,F,F,F,T,F,X,F,T,T,T,T,F,
T,T,F,F,F,T,F,X,F,T,T,T,T,T,
T,T,F,F,F,T,F,X,T,X,X,X,X,X,
T,T,F,F,F,T,T,F,F,F,X,X,X,X,
T,T,F,F,F,T,T,F,F,T,F,X,X,X,
T,T,F,F,F,T,T,F,F,T,T,F,X,X,
T,T,F,F,F,T,T,F,F,T,T,T,F,X,
T,T,F,F,F,T,T,F,F,T,T,T,T,F,
T,T,F,F,F,T,T,F,F,T,T,T,T,T,
T,T,F,F,F,T,T,F,T,X,X,X,X,X,
T,T,F,F,F,T,T,T,X,X,X,X,X,X,
T,T,F,F,T,X,X,X,F,F,X,X,X,X,
T,T,F,F,T,X,X,X,F,T,F,X,X,X,
T,T,F,F,T,X,X,X,F,T,T,F,X,X,
T,T,F,F,T,X,X,X,F,T,T,T,F,X,
T,T,F,F,T,X,X,X,F,T,T,T,T,F,
T,T,F,F,T,X,X,X,F,T,T,T,T,T,
T,T,F,F,T,X,X,X,T,X,X,X,X,X,
T,T,F,T,X,X,X,X,F,F,X,X,X,X,
T,T,F,T,X,X,X,X,F,T,F,X,X,X,
T,T,F,T,X,X,X,X,F,T,T,F,X,X,
T,T,F,T,X,X,X,X,F,T,T,T,F,X,
T,T,F,T,X,X,X,X,F,T,T,T,T,F,
T,T,F,T,X,X,X,X,F,T,T,T,T,T,
T,T,F,T,X,X,X,X,T,X,X,X,X,X,
T,T,T,X,X,X,X,X,F,F,X,X,X,X,
T,T,T,X,X,X,X,X,F,T,F,X,X,X,
T,T,T,X,X,X,X,X,F,T,T,F,X,X,
T,T,T,X,X,X,X,X,F,T,T,T,F,X,
T,T,T,X,X,X,X,X,F,T,T,T,T,F,
T,T,T,X,X,X,X,X,F,T,T,T,T,T,
T,T,T,X,X,X,X,X,T,X,X,X,X,X,
